idx,timestamp,symbol,open,high,low,close,volume
549314,2022-12-01 05.45.00,BTC/USDT,17093.99,17105.63,17059.58,17099.97,1091
549315,2022-12-01 05.50.00,BTC/USDT,17099.97,17112.77,17094.33,17103.92,668
549316,2022-12-01 05.55.00,BTC/USDT,17103.16,17118.59,17102.37,17110.11,553
549317,2022-12-01 06.00.00,BTC/USDT,17110.95,17118.45,17105.27,17110.99,503
549318,2022-12-01 06.05.00,BTC/USDT,17111.97,17122.66,17110.1,17116.65,598
549319,2022-12-01 06.10.00,BTC/USDT,17116.65,17120.04,17101.47,17105.09,478
549320,2022-12-01 06.15.00,BTC/USDT,17105.09,17111.31,17092.35,17096.46,588
549321,2022-12-01 06.20.00,BTC/USDT,17096.46,17102.15,17092.38,17095.63,336
549322,2022-12-01 06.25.00,BTC/USDT,17095.41,17104.64,17093.68,17096.06,548
549323,2022-12-01 06.30.00,BTC/USDT,17095.58,17102.79,17086.64,17093.65,524
549324,2022-12-01 06.35.00,BTC/USDT,17093.65,17093.88,17084.49,17090.73,407
549325,2022-12-01 06.40.00,BTC/USDT,17091.21,17113.83,17088.81,17108.93,719
549326,2022-12-01 06.45.00,BTC/USDT,17109.19,17125.78,17104.03,17123.31,679
549327,2022-12-01 06.50.00,BTC/USDT,17123.31,17130.0,17119.42,17121.43,560
549328,2022-12-01 06.55.00,BTC/USDT,17121.06,17124.53,17115.38,17120.89,451
549329,2022-12-01 07.00.00,BTC/USDT,17120.35,17124.67,17110.65,17112.32,629
549330,2022-12-01 07.05.00,BTC/USDT,17112.32,17113.48,17097.64,17108.76,872
549331,2022-12-01 07.10.00,BTC/USDT,17108.35,17110.58,17092.82,17109.29,690
549332,2022-12-01 07.15.00,BTC/USDT,17109.29,17116.75,17102.54,17115.29,532
549333,2022-12-01 07.20.00,BTC/USDT,17115.29,17119.48,17104.0,17105.79,562
549334,2022-12-01 07.25.00,BTC/USDT,17106.0,17113.18,17103.55,17109.86,482
549335,2022-12-01 07.30.00,BTC/USDT,17109.86,17113.16,17099.17,17101.84,649
549336,2022-12-01 07.35.00,BTC/USDT,17101.17,17119.96,17099.85,17116.67,654
