报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31
资本公积(万元),21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,21178.0,24875.0,22936.0,23149.0,22971.0,22710.0,22207.0,22683.0,22667.0,22227.0,22381.0,22740.0,22428.0,22623.0,23204.0,23635.0,23484.0,23146.0,22889,23795.0,23884,23356.0,23631.0,24582.0,22717.0,23511.0,25255.0,27260.0,28976.0,31262.0,29226.0,23797.0,22517.0
递延所得税负债(万元),472.0,554.0,540.0,526.0,534.0,494.0,801.0,786.0,737.0,717.0,831.0,690.0,228.0,238.0,153.0,185.0,220.0,158.0,91.0,156.0,142.0,1359.0,978.0,772.0,843.0,784.0,708.0,540.0,699.0,693.0,547.0,599.0,718.0,614.0,679.0,873.0,1017.0,966.0,854.0,768,1070.0,1100,923.0,1015.0,1312.0,691.0,933.0,1525.0,2228.0,2878.0,1322.0,963.0,0.0,321.0
递延所得税资产(万元),113.0,102.0,93.0,96.0,95.0,87.0,82.0,85.0,82.0,80.0,123.0,122.0,127.0,124.0,105.0,103.0,112.0,106.0,64.0,60.0,65.0,98.0,30.0,158.0,182.0,190.0,62.0,87.0,123.0,142.0,202.0,200.0,215.0,160.0,86.0,72.0,78.0,66.0,68.0,57,69.0,48,36.0,30.0,29.0,31.0,55.0,53.0,56.0,51.0,39.0,43.0,31.0,27.0
递延收益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期借款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,1067.0,1067.0,1067.0,2175.0,2175.0,2175.0,2175.0,3205.0,9255.0,9407.0,8294.0,9335.0,9371.0,8640.0,7329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(万元),0.0,155.0,0.0,155.0,0.0,155.0,1001.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155,155.0,155,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
长期应收款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用(万元),4.0,7.0,14.0,18.0,28.0,28.0,50.0,69.0,84.0,54.0,174.0,200.0,224.0,250.0,152.0,165.0,177.0,189.0,201.0,228.0,243.0,266.0,262.0,277.0,291.0,273.0,285.0,296.0,308.0,320.0,651.0,681.0,356.0,367.0,379.0,391.0,403.0,415.0,427.0,439,447.0,452,0.0,0.0,262.0,265.0,268.0,276.0,276.0,276.0,349.0,350.0,331.0,336.0
长期股权投资(万元),528.0,526.0,540.0,538.0,536.0,534.0,547.0,547.0,573.0,570.0,533.0,634.0,643.0,651.0,234.0,234.0,364.0,469.0,373.0,94.0,94.0,94.0,94.0,6104.0,5692.0,5798.0,7167.0,7306.0,7424.0,7532.0,6425.0,7438.0,7347.0,8416.0,13065.0,10033.0,9056.0,9118.0,9464.0,9457,9465.0,9460,9462.0,8465.0,3462.0,3117.0,3016.0,3005.0,3246.0,3229.0,5335.0,5528.0,12454.0,5629.0
长期递延收益(万元),1998.0,2022.0,2047.0,2071.0,2095.0,2120.0,2144.0,2168.0,2193.0,2217.0,2241.0,2266.0,2295.0,2314.0,2389.0,2422.0,2392.0,2462.0,2490.0,2509.0,2509.0,2509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计(万元),4348.0,4455.0,4574.0,4584.0,4617.0,4602.0,5099.0,5108.0,5084.0,5088.0,5380.0,5264.0,4831.0,4861.0,10643.0,5974.0,5979.0,5987.0,7252.0,7337.0,7322.0,8540.0,8195.0,14217.0,14429.0,13257.0,13991.0,13785.0,16619.0,15291.0,4640.0,10464.0,10539.0,10435.0,11258.0,11452.0,11595.0,11545.0,4740.0,4654,4254.0,4325,4067.0,4159.0,4456.0,3835.0,4086.0,4987.0,5690.0,6498.0,7474.0,32004.0,21821.0,5504.0
非流动资产合计(万元),25071.0,25265.0,26144.0,26408.0,26920.0,29300.0,30999.0,31278.0,31466.0,31629.0,34445.0,34330.0,32774.0,33157.0,32816.0,41562.0,42203.0,42949.0,37319.0,37728.0,38086.0,43788.0,42585.0,55963.0,56374.0,54901.0,52898.0,52404.0,52441.0,51252.0,37602.0,38245.0,37333.0,37546.0,41045.0,39035.0,36048.0,35054.0,34304.0,33938,35401.0,35872,34795.0,32807.0,27526.0,25762.0,35146.0,33080.0,32524.0,35365.0,34900.0,43140.0,43121.0,35610.0
预付款项(万元),10027.0,9894.0,11300.0,7873.0,8351.0,9722.0,10517.0,8576.0,9632.0,10385.0,12770.0,10382.0,12013.0,8019.0,10202.0,8474.0,7276.0,10787.0,12477.0,9412.0,6531.0,9729.0,10579.0,9125.0,6048.0,7103.0,7494.0,7421.0,11387.0,19708.0,13725.0,9673.0,8353.0,15676.0,14000.0,12827.0,48158.0,43306.0,11343.0,10467,10195.0,14586,11442.0,11770.0,11681.0,15799.0,9855.0,9528.0,11137.0,7389.0,7436.0,7712.0,5453.0,5520.0
预提费用(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预收账款(万元),13837.0,12784.0,14219.0,11209.0,10460.0,13466.0,14097.0,12062.0,11975.0,15396.0,15963.0,13089.0,14784.0,19104.0,12655.0,13862.0,14396.0,14710.0,15821.0,12801.0,10582.0,13112.0,15864.0,11638.0,10146.0,10780.0,9120.0,8536.0,13095.0,23673.0,14871.0,14286.0,15071.0,20502.0,17343.0,15655.0,11565.0,19452.0,11245.0,9906,10105.0,15645,11542.0,9059.0,9397.0,14054.0,11635.0,11645.0,10691.0,11289.0,10569.0,11407.0,7672.0,7774.0
预计流动负债(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债(万元),400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0,0.0,3446.0,3446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0,2550.0,2651.0,2651.0
