报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31
一年内到期的非流动负债(万元),155174.0,228193.0,157990.0,148990.0,394790.0,441400.0,481800.0,312700.0,131100.0,448240.0,575240.0,558240.0,584270.0,567520.0,484100.0,518120.0,364750.0,177750.0,213456.0,200126.0,116137.0,127671.0,78314.0,84183.0,79047.0,78922.0,115919.0,126113.0,105516.0,105796.0,44387.0,72736.0,53502.0,59380.0,0.0,0.0,0.0,0.0,0.0,0,17066.0,17071,41916.0,52182.0,70180.0,87786.0,53114.0,74890.0,125717.0,116008.0,97518.0,84163.0,54801.0,57300.0
一年内到期的非流动资产(万元),0.0,69200.0,15500.0,40000.0,40000.0,46342.0,43954.0,36167.0,103314.0,103314.0,90100.0,70100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一般风险准备(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项储备(万元),0.0,44.0,100.0,122.0,113.0,123.0,176.0,158.0,193.0,201.0,322.0,396.0,123.0,93.0,142.0,125.0,37.0,0.0,35.0,96.0,149.0,144.0,142.0,145.0,118.0,96.0,69.0,65.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款(万元),0.0,9937.0,0.0,9937.0,0.0,9937.0,0.0,0.0,9937.0,9937.0,9937.0,9937.0,139034.0,139034.0,138024.0,122384.0,120484.0,98484.0,91004.0,90034.0,89334.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2507.0,2457.0,2457.0,2457.0,2457.0,2457,2457.0,2457,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,3961.0,3708.0,3765.0,3439.0
买入返售金融资产(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融负债(万元),15631.0,22174.0,56516.0,20277.0,19968.0,43189.0,56242.0,22999.0,2958.0,337.0,440.0,66.0,0.0,0.0,0.0,2082.0,5357.0,18124.0,14187.0,4818.0,11346.0,5648.0,3919.0,3705.0,3699.0,0.0,0.0,42.0,0.0,22.0,13.0,99.0,0.0,116.0,9.0,0.0,0.0,0.0,0.0,0,94.0,0,0.0,137.0,907.0,520.0,379.0,2050.0,2813.0,1163.0,0.0,0.0,0.0,57.0
交易性金融资产(万元),1245.0,4879.0,3563.0,4702.0,1395.0,1169.0,992.0,1180.0,2266.0,660.0,831.0,0.0,0.0,0.0,21.0,193.0,1940.0,1306.0,2273.0,6193.0,2397.0,1301.0,2478.0,2930.0,2842.0,6921.0,4652.0,3265.0,3096.0,2286.0,32.0,214.0,1384.0,2023.0,2539.0,3617.0,2779.0,2123.0,2272.0,265,3990.0,6399,8924.0,12654.0,15069.0,15736.0,28147.0,33204.0,34686.0,29431.0,19679.0,14951.0,666.0,71.0
代理买卖证券款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
代理承销证券款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
