candle_begin_time,symbol,"ATRV_[3, 9]","PVO_[3, 9]","AtrVolatility_[3, 9, 0.3]"
2021-01-01 01:00:00,SKL-USDT,0.9203629407961851,1.7273529631178577,1.0
2021-01-01 01:00:00,RUNE-USDT,0.7068675246470211,1.5098653166228728,1.0
2021-01-01 01:00:00,AVAX-USDT,0.6892775130495579,1.219223976530681,1.0
2021-01-01 01:00:00,LTC-USDT,0.5435655104492592,1.1357237853552549,1.0
2021-01-01 01:00:00,ZEN-USDT,0.4233895808495347,1.196063105889775,1.0
2021-01-01 01:00:00,BLZ-USDT,0.38606829460813996,0.3945458924379356,1.0
2021-01-01 01:00:00,ALPHA-USDT,0.3714505845849396,0.8379435817147041,1.0
2021-01-01 01:00:00,GRT-USDT,0.3387706025650914,0.7427393214921232,1.0
2021-01-01 01:00:00,BAND-USDT,0.3056456285368687,0.6907282958904465,1.0
2021-01-01 01:00:00,XTZ-USDT,0.2999421127656581,0.9646675871174751,
2021-01-01 01:00:00,ALGO-USDT,0.2978055188537394,1.2587568458721725,
2021-01-01 01:00:00,KNC-USDT,0.2971175842490017,0.716585479081973,
2021-01-01 01:00:00,XLM-USDT,0.291536005730483,0.8419364245923004,
2021-01-01 01:00:00,VET-USDT,0.28998931224599045,0.9254135303543324,
2021-01-01 01:00:00,SXP-USDT,0.2891311873081974,0.5618968807386499,
2021-01-01 01:00:00,CVC-USDT,0.2883398391576808,1.1863664256861823,
2021-01-01 01:00:00,NEAR-USDT,0.28346201465896637,0.6918630180113006,
2021-01-01 01:00:00,ENJ-USDT,0.28112002788188994,0.8198322813446722,
2021-01-01 01:00:00,BZRX-USDT,0.26121932196049413,0.6983926010359548,
2021-01-01 01:00:00,TRX-USDT,0.2506027977898786,0.683226908371291,
2021-01-01 01:00:00,KAVA-USDT,0.2443191502180908,0.5980757484007616,
2021-01-01 01:00:00,REN-USDT,0.23286323381654017,0.6295223031243868,
2021-01-01 01:00:00,ZEC-USDT,0.23238998152277168,0.9379269867583776,
2021-01-01 01:00:00,BAL-USDT,0.2272068705761574,1.233029647079862,
2021-01-01 01:00:00,SOL-USDT,0.22595490429815657,0.2507179140808705,
2021-01-01 01:00:00,XMR-USDT,0.2189035259338361,0.237373909374861,
2021-01-01 01:00:00,RLC-USDT,0.2179897490334799,0.7433868363685623,
2021-01-01 01:00:00,STORJ-USDT,0.21171765307398238,0.6423249541709688,
2021-01-01 01:00:00,TRB-USDT,0.21065006704850675,0.6625419006783024,
2021-01-01 01:00:00,ONT-USDT,0.20808259222959347,1.1209740374542139,
2021-01-01 01:00:00,EGLD-USDT,0.1897311106843791,0.6439259219652075,
2021-01-01 01:00:00,MATIC-USDT,0.18878599602050583,0.5589682355550869,
2021-01-01 01:00:00,ATOM-USDT,0.18746169218216746,0.56448903861771,
2021-01-01 01:00:00,LINK-USDT,0.1827015726461645,0.8393424669664388,
2021-01-01 01:00:00,SNX-USDT,0.16327059530540278,0.670195226336254,
2021-01-01 01:00:00,BCH-USDT,0.16271569992180956,0.7270754180312009,
2021-01-01 01:00:00,ZRX-USDT,0.15752204334879072,0.8850226884131229,
2021-01-01 01:00:00,SUSHI-USDT,0.1559485097383697,0.5533402618900012,
2021-01-01 01:00:00,LRC-USDT,0.14696947122743298,0.5894779066079172,
2021-01-01 01:00:00,OCEAN-USDT,0.14444138877879364,0.6673421546201689,
2021-01-01 01:00:00,FIL-USDT,0.14284790148336945,-0.354460308298517,
2021-01-01 01:00:00,BNB-USDT,0.13791517883222126,0.7160391344404601,
2021-01-01 01:00:00,FTM-USDT,0.1375594227406418,0.18095625559603987,
2021-01-01 01:00:00,MKR-USDT,0.13431109374892403,0.20497202091298883,
2021-01-01 01:00:00,DASH-USDT,0.12294028349404873,0.9029859649654033,
2021-01-01 01:00:00,DOT-USDT,0.11990601476413887,0.5138003814840006,
2021-01-01 01:00:00,ETH-USDT,0.11893473417433476,0.2682482105236697,
2021-01-01 01:00:00,FLM-USDT,0.11799079736408591,0.14712027992599644,
2021-01-01 01:00:00,YFII-USDT,0.11133580758195549,0.22914571994296104,
2021-01-01 01:00:00,ADA-USDT,0.10766939117426788,0.47416658127243194,
2021-01-01 01:00:00,DEFI-USDT,0.10089856133074626,0.6329593304420439,
2021-01-01 01:00:00,TOMO-USDT,0.09798300775789848,0.5399348433640974,
2021-01-01 01:00:00,AAVE-USDT,0.08895651832680795,0.6874298259324645,
2021-01-01 01:00:00,NEO-USDT,0.08624058488418207,0.6163471713642642,
2021-01-01 01:00:00,BAT-USDT,0.08416575575136065,0.9226034551964895,
2021-01-01 01:00:00,OMG-USDT,0.08231181047673064,0.18113346346436382,
2021-01-01 01:00:00,1INCH-USDT,0.07929780418747656,0.28007057040978345,
2021-01-01 01:00:00,DOGE-USDT,0.07568227572598718,0.40263265553132216,
2021-01-01 01:00:00,COMP-USDT,0.07145421528570517,0.19523787624706462,
2021-01-01 01:00:00,ETC-USDT,0.0683704953400106,0.7621858217196027,
2021-01-01 01:00:00,CRV-USDT,0.06663347267955033,0.3763154363130881,
2021-01-01 01:00:00,KSM-USDT,0.0666031117510304,0.28144332561060864,
2021-01-01 01:00:00,QTUM-USDT,0.06516137619394846,0.6878321396382293,
2021-01-01 01:00:00,IOTA-USDT,0.06124876367987109,0.6256321247468489,
2021-01-01 01:00:00,BEL-USDT,0.05207564688950961,0.07107745779543193,
2021-01-01 01:00:00,AXS-USDT,0.046944114151640015,1.1431179318200309,
2021-01-01 01:00:00,RSR-USDT,0.044796230836973816,0.37819714145956884,
