Date,Open,Low,High,Close,Volume,Amount
2010-03-26 09:35:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 09:40:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 09:45:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 09:50:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 09:55:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:00:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:05:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:10:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:15:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:20:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:25:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:30:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:35:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:40:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:45:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:50:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 10:55:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:00:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:05:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:10:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:15:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:20:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:25:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 11:30:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:05:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:10:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:15:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:20:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:25:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:30:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:35:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:40:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:45:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:50:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 13:55:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:00:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:05:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:10:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:15:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:20:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:25:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:30:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:35:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:40:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:45:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 14:50:00,101.000,101.000,101.000,101.000,5000,5050000.00
2010-03-26 14:55:00,101.000,101.000,101.000,101.000,0,0.00
2010-03-26 15:00:00,101.000,101.000,101.000,101.000,0,0.00
2010-04-12 09:35:00,100.400,100.400,100.400,100.400,0,0.00
2010-04-12 09:40:00,100.400,100.400,100.400,100.400,0,0.00
2010-04-12 09:45:00,100.400,100.400,100.400,100.400,0,0.00
